itemno;title;description;abe-title;abe-description
70002;X-mas tree, crystals, gold;article with  Crystals (glass), gold plated 24K Gold;Hängedekoration, Weihnachtsbaum;Artikel mit Kristall (Glas), gold-plattiert
70003;WATERING CAN, CRYSTAL ELEMENTS, GOLD, NEW;This decoration item is a beautiful watering can with crystal glass elements and a gold plated surface. This little beauty can serve as a perfect gift and it can also be a wonderful accessory for a chic home!;Gießkanne, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Henkel beweglich
70004;Umbrella, Crystal Elements, Gold Plated;What an extraordinary gift! This elegant piece of decoration has eight cut glass cristals. The umbrella is gold plated and its sophisticated finish provides a great, long lasting quality!;Regenschirm, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70005;Dolphin, Crystal Elements, Gold Plated;A wonderful dolphin for decoration which is gold plated with 24 ct gold. The ornament has  glass crystals incorporated which let the adornment look beautiful and stunning!;Delfin, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70006;Rabbit, Crystal Elements, Gold Plated;This beautiful decoration item represents a little bunny with open arms and long ears. It has some wonderful glass crystal elements and a gold plated surface. The home decoration item can be a lovely gift or a great accessory for your own living room.;Hase, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70008;Lion, Crystal Elements, Gold Plated;This decoration item is a beautiful lion with crystal glass elements and a gold plated surface. The ornament can serve as a perfect gift and it can also be a wonderful accessory for a chic home!;Löwe, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70010;Piano, Crystal Elements, 24K Gold Plated;A wonderful small piano for decoration which is gold plated with 24K gold. The ornament has  glass crystals incorporated which let the adornment look beautiful and stunning!;Piano, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Deckel aufklappbar
70011;violin, crystals, gold;A wonderful small violin for decoration which is gold plated with 24 ct gold. The ornament has  glass crystals incorporated which let the adornment look beautiful and stunning!;Violine, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70012;Penguin, Crystal Elements, Gold Plated;This decoration item is a beautiful penguin with crystal glass elements and a gold plated surface. The ornament can serve as a perfect gift and it can also be a wonderful accessory for a chic home!;Pinguin, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
70014;pram, crystals, gold;A wonderful small pram for decoration which is gold plated with 24 ct gold. The wheels are movable and the ornament has  glass crystals incorporated which let the adornment look beautiful and stunning!;Kinderwagen, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert, Räder beweglich
70015;Fish, Crystal Elements, Gold Plated;This decoration item is a beautiful fish with crystal glass elements and a gold plated surface. The ornament can serve as a perfect gift and it can also be a wonderful accessory for a chic home!;Fisch, mit Glas-Steinen;Artikel mit Kristall (Glas), gold-plattiert
